MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
3186.9888,2990.327,82.4163,0.2621,2.4148,80.6461,0.3966,0.1204,7
3187.1412,2990.4559,75.4893,0.1908,2.4939,73.7258,0.1423,0.0402,7
3187.2936,2990.5847,57.3737,0.124,2.5923,64.3677,0,0,7
3187.446,2990.7135,45.6963,0.098,2.6298,58.2071,0,0,7
3187.5984,2990.8424,40.7468,0.1368,2.5806,60.981,0.0148,0.1092,7
3187.7508,2990.9712,46.8977,0.1809,2.4627,68.867,0.0922,0.1855,1
3187.9032,2991.1,55.5907,0.2238,2.3617,74.9495,0.1308,0.2129,1
3188.0556,2991.2289,56.164,0.2591,2.327,80.3597,0.1558,0.2193,1
3188.208,2991.3577,58.8928,0.2664,2.3316,82.7038,0.1251,0.2269,1
3188.3604,2991.4866,54.1882,0.2643,2.3226,83.4969,0.1664,0.2268,1
3188.5128,2991.6154,60.7028,0.248,2.2903,86.58,0.1869,0.233,1
3188.6652,2991.7442,60.7028,0.2586,2.2754,86.9206,0.2195,0.2355,1
3188.8176,2991.8731,64.2712,0.2695,2.2723,87.0226,0.1789,0.2454,1
3188.97,2992.0019,58.8619,0.2674,2.2575,87.4492,0.121,0.2582,1
3189.1224,2992.1308,54.244,0.2674,2.2424,87.1018,0.1413,0.2544,1
3189.2748,2992.2596,57.9916,0.2521,2.2401,87.1356,0.1486,0.2449,1
3189.4272,2992.3884,59.3131,0.2431,2.2568,87.1595,0.1687,0.2365,1
3189.5796,2992.5173,66.8698,0.2427,2.269,86.5213,0.2323,0.2283,1
3189.732,2992.6461,65.7506,0.2558,2.2798,86.2173,0.2646,0.2261,1
3189.8844,2992.775,67.49,0.2701,2.2855,86.14,0.2649,0.2242,1
3190.0368,2992.9038,67.226,0.262,2.2853,85.8184,0.2617,0.2278,1
3190.1892,2993.0326,66.6966,0.266,2.2699,87.3921,0.2585,0.2322,1
3190.3416,2993.1615,66.4507,0.2669,2.2552,87.9219,0.2348,0.2413,1
3190.494,2993.2903,67.9742,0.273,2.2658,87.4231,0.2719,0.2353,1
3190.6464,2993.4192,69.0237,0.2705,2.2858,87.45,0.2857,0.2245,1
3190.7988,2993.548,70.1258,0.2673,2.3007,86.637,0.299,0.2152,1
3190.9512,2993.6768,67.397,0.2554,2.3031,85.5998,0.2664,0.2137,1
3191.1036,2993.8057,65.5712,0.2478,2.3057,85.1701,0.2445,0.2125,1
3191.256,2993.9345,64.0852,0.238,2.3129,84.5447,0.2257,0.2084,1
3191.4084,2994.0634,60.8301,0.2307,2.3206,83.8338,0.1884,0.2069,1
3191.5608,2994.1922,60.6436,0.2225,2.3335,84.2434,0.1867,0.1989,1
3191.7132,2994.321,61.2733,0.2144,2.3471,84.1721,0.1939,0.19,1
3191.8656,2994.4499,63.4789,0.2028,2.3514,83.6527,0.1954,0.1841,1
3192.018,2994.5787,68.1421,0.1975,2.356,83.4197,0.1921,0.1817,1
3192.1704,2994.7075,70.8709,0.2099,2.3561,83.4646,0.234,0.18,1
3192.3228,2994.8364,71.0848,0.2114,2.3611,83.6494,0.2506,0.1766,1
3192.4752,2994.9652,67.6395,0.2207,2.3695,82.1158,0.2723,0.1714,1
3192.6276,2995.0941,69.1452,0.2062,2.39,79.663,0.2906,0.1568,1
3192.78,2995.2229,71.0303,0.2027,2.4096,80.5492,0.3106,0.1457,1
3192.9324,2995.3517,71.3047,0.1989,2.4198,80.0597,0.305,0.143,1
3193.0848,2995.4806,68.1197,0.2108,2.4165,79.977,0.2772,0.1528,1
3193.2372,2995.6094,68.8351,0.2321,2.4071,83.0713,0.289,0.1604,1
3193.3896,2995.7383,70.6147,0.2283,2.3951,83.2316,0.3129,0.1599,1
3193.542,2995.8671,74.7331,0.2197,2.3893,83.5551,0.3412,0.1571,1
3193.6944,2995.9959,75.2771,0.2256,2.3896,84.1888,0.3614,0.1557,1
3193.8468,2996.1248,76.2954,0.2349,2.3984,83.6059,0.3807,0.1508,1
3193.9992,2996.2536,78.4743,0.2296,2.4098,82.7756,0.3859,0.144,1
3194.1516,2996.3825,82.9665,0.2138,2.4123,82.8355,0.3537,0.1435,1
3194.304,2996.5113,82.9977,0.2093,2.4109,82.4266,0.3571,0.1456,1
3194.4564,2996.6401,80.6887,0.2258,2.4029,82.3119,0.3764,0.1497,1
