WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RDT_2P,3559.2,2629.4911,124.5309,0.315,2.4393,80.7761,0.1551,0.0491,0
RDT_2P,3559.3,2629.5579,127.8437,0.3191,2.4407,82.1532,0.2491,0.0323,0
RDT_2P,3559.4,2629.6247,133.0006,0.3218,2.4425,83.4764,0.3532,0.0169,1
RDT_2P,3559.5,2629.6915,135.2333,0.3214,2.4465,84.5083,0.4788,0.0093,3
RDT_2P,3559.6,2629.7583,136.6466,0.3194,2.4517,85.3055,0.5879,0.0049,5
RDT_2P,3559.7,2629.8251,137.1861,0.3156,2.4583,85.8041,0.6723,0.0043,5
RDT_2P,3559.8,2629.8919,137.4871,0.3107,2.4682,85.8291,0.6968,0.0041,5
RDT_2P,3559.9,2629.9587,138.2126,0.306,2.4797,85.747,0.7269,0.0035,5
RDT_2P,3560,2630.0255,139.706,0.3016,2.4932,85.5722,0.778,0.0024,5
RDT_2P,3560.1,2630.0923,140.7744,0.2987,2.5051,85.7377,0.8097,0.0018,5
RDT_2P,3560.2,2630.1591,141.0795,0.2966,2.5144,86.1277,0.8303,0.0018,5
RDT_2P,3560.3,2630.2259,139.9216,0.2955,2.519,86.8668,0.8348,0.0026,5
RDT_2P,3560.4,2630.2927,138.9005,0.2948,2.5176,87.6664,0.8392,0.0031,5
RDT_2P,3560.5,2630.3595,138.8507,0.294,2.5136,88.3792,0.8452,0.003,5
RDT_2P,3560.6,2630.4263,141.2101,0.2929,2.5063,88.83,0.8551,0.0017,5
RDT_2P,3560.7,2630.4931,143.3148,0.2906,2.4974,89.0879,0.8706,0.001,5
RDT_2P,3560.8,2630.5599,144.4356,0.2877,2.4882,89.3349,0.8829,0.0008,5
RDT_2P,3560.9,2630.6267,142.5467,0.284,2.4795,89.7607,0.8776,0.0017,5
RDT_2P,3561,2630.6935,140.6675,0.2801,2.4736,90.4642,0.8632,0.0023,5
RDT_2P,3561.1,2630.7604,139.2638,0.2764,2.4698,91.2786,0.849,0.0027,5
RDT_2P,3561.2,2630.8272,140.0072,0.2733,2.4705,92.056,0.8534,0.0019,5
RDT_2P,3561.3,2630.894,141.2996,0.2714,2.4718,92.4598,0.8874,0.0014,5
RDT_2P,3561.4,2630.9608,142.5665,0.2703,2.4731,92.6041,0.9286,0.0012,5
RDT_2P,3561.5,2631.0276,141.7705,0.2706,2.4713,92.2992,0.9168,0.0017,5
RDT_2P,3561.6,2631.0944,140.1722,0.2708,2.4686,92.0513,0.8944,0.0037,5
RDT_2P,3561.7,2631.1612,137.9779,0.2708,2.4659,91.8959,0.8671,0.0068,5
RDT_2P,3561.8,2631.228,134.8266,0.2687,2.4692,92.3828,0.8593,0.0113,5
RDT_2P,3561.9,2631.2948,132.3237,0.2637,2.4789,93.295,0.8675,0.0166,5
RDT_2P,3562,2631.3616,130.3033,0.2564,2.494,94.5513,0.8877,0.0232,5
RDT_2P,3562.1,2631.4284,127.6367,0.2448,2.5173,96.0449,0.8926,0.044,5
RDT_2P,3562.2,2631.4952,122.8808,0.233,2.54,97.3114,0.8888,0.0578,5
RDT_2P,3562.3,2631.562,116.1176,0.2209,2.5619,98.3597,0.8766,0.0648,5
