WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_7P,3183.255,2944.6206,92.204,0.166,2.509,73.447,0.4156,0.0821,3
RD_7P,3183.3312,2944.6924,89.691,0.164,2.497,72.888,0.381,0.0897,3
RD_7P,3183.4074,2944.7641,87.757,0.165,2.492,72.419,0.3694,0.0928,3
RD_7P,3183.4836,2944.8358,86.415,0.167,2.492,71.972,0.3747,0.0927,3
RD_7P,3183.5598,2944.9076,85.484,0.168,2.497,71.523,0.39,0.0895,3
RD_7P,3183.636,2944.9793,84.708,0.167,2.505,71.133,0.4061,0.0845,3
RD_7P,3183.7122,2945.0511,83.874,0.164,2.514,70.876,0.4154,0.0793,3
RD_7P,3183.7884,2945.1228,82.921,0.16,2.522,70.746,0.4054,0.076,3
RD_7P,3183.8646,2945.1946,82.077,0.159,2.528,70.666,0.3966,0.0738,3
RD_7P,3183.9408,2945.2663,81.709,0.158,2.532,70.569,0.3928,0.0724,3
RD_7P,3184.017,2945.3381,81.835,0.158,2.534,70.391,0.3941,0.0713,3
RD_7P,3184.0932,2945.4098,82.131,0.158,2.536,70.092,0.3972,0.0701,3
RD_7P,3184.1694,2945.4815,82.198,0.157,2.538,69.706,0.3979,0.0691,3
RD_7P,3184.2456,2945.5533,81.636,0.155,2.54,69.316,0.392,0.0685,3
RD_7P,3184.3218,2945.625,80.231,0.154,2.542,68.997,0.3774,0.069,3
RD_7P,3184.398,2945.6968,78.266,0.152,2.545,68.796,0.3569,0.0699,3
RD_7P,3184.4742,2945.7685,76.429,0.15,2.548,68.728,0.3378,0.0705,3
RD_7P,3184.5504,2945.8403,75.327,0.147,2.55,68.803,0.3263,0.0703,3
RD_7P,3184.6266,2945.912,75.175,0.143,2.552,69.061,0.3247,0.0685,3
RD_7P,3184.7028,2945.9838,75.842,0.14,2.552,69.511,0.3317,0.0662,3
RD_7P,3184.779,2946.0555,76.866,0.137,2.551,70.062,0.3424,0.0641,3
RD_7P,3184.8552,2946.1272,77.709,0.137,2.55,70.583,0.3511,0.0627,3
RD_7P,3184.9314,2946.199,78.049,0.139,2.55,71.003,0.3547,0.0626,3
RD_7P,3185.0076,2946.2707,78.054,0.144,2.55,71.312,0.3547,0.0638,3
RD_7P,3185.0838,2946.3425,78.403,0.152,2.551,71.499,0.3584,0.0653,3
RD_7P,3185.16,2946.4142,79.821,0.16,2.551,71.526,0.3731,0.0663,3
RD_7P,3185.2362,2946.486,82.533,0.168,2.551,71.383,0.4014,0.0657,3
RD_7P,3185.3124,2946.5577,86.123,0.173,2.549,71.174,0.4388,0.0643,3
RD_7P,3185.3886,2946.6295,89.872,0.174,2.546,71.099,0.4778,0.0622,3
RD_7P,3185.4648,2946.7012,93.259,0.172,2.541,71.3,0.4989,0.0619,3
RD_7P,3185.541,2946.7729,96.048,0.168,2.534,71.767,0.4751,0.0665,3
RD_7P,3185.6172,2946.8447,98.224,0.164,2.528,72.403,0.4489,0.0704,3
RD_7P,3185.6934,2946.9164,99.991,0.164,2.524,73.143,0.432,0.073,3
RD_7P,3185.7696,2946.9882,101.493,0.167,2.524,73.963,0.4359,0.0729,3
RD_7P,3185.8458,2947.0599,102.516,0.172,2.528,74.829,0.457,0.0702,3
RD_7P,3185.922,2947.1317,102.795,0.178,2.536,75.654,0.492,0.0648,3
RD_7P,3185.9982,2947.2034,102.409,0.18,2.544,76.316,0.5242,0.0595,3
RD_7P,3186.0744,2947.2752,101.705,0.18,2.551,76.726,0.5429,0.0551,3
RD_7P,3186.1506,2947.3469,101.05,0.178,2.555,76.883,0.5486,0.0526,3
RD_7P,3186.2268,2947.4186,100.597,0.176,2.555,76.858,0.5415,0.0528,3
RD_7P,3186.303,2947.4904,100.164,0.175,2.552,76.728,0.5296,0.0548,3
RD_7P,3186.3792,2947.5621,99.542,0.176,2.545,76.543,0.5143,0.0592,3
RD_7P,3186.4554,2947.6339,98.869,0.177,2.537,76.321,0.5017,0.0641,3
RD_7P,3186.5316,2947.7056,98.429,0.179,2.529,76.056,0.4903,0.069,3
RD_7P,3186.6078,2947.7774,98.431,0.181,2.522,75.749,0.4832,0.0732,3
RD_7P,3186.684,2947.8491,99.061,0.182,2.517,75.425,0.4791,0.0762,3
RD_7P,3186.7602,2947.9209,100.281,0.182,2.516,75.126,0.4795,0.0768,3
RD_7P,3186.8364,2947.9926,101.673,0.183,2.517,74.878,0.4826,0.0761,3
RD_7P,3186.9126,2948.0643,102.781,0.183,2.519,74.693,0.4891,0.0748,3
RD_7P,3186.9888,2948.1361,103.242,0.183,2.523,74.582,0.4972,0.0723,3
RD_7P,3187.065,2948.2078,103.02,0.183,2.527,74.555,0.5052,0.0698,3
