WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_2P_P,3433.35,3116.3798,60.515,0.2057,2.401,78.6454,0.1809,0.1677,0
RD_2P_P,3433.5,3116.5058,61.9879,0.2023,2.3953,78.6483,0.206,0.1649,0
RD_2P_P,3433.65,3116.6318,66.1697,0.196,2.3879,78.7356,0.2264,0.163,0
RD_2P_P,3433.8,3116.7578,68.4075,0.1943,2.3815,78.7773,0.2267,0.1642,0
RD_2P_P,3433.95,3116.8838,67.5093,0.1951,2.3812,78.5309,0.2215,0.1637,0
RD_2P_P,3434.1,3117.0098,64.6125,0.1932,2.3854,78.6753,0.2083,0.1612,0
RD_2P_P,3434.25,3117.1358,63.2305,0.1843,2.3912,78.8422,0.1815,0.1601,0
RD_2P_P,3434.4,3117.2618,63.467,0.1732,2.3893,78.7483,0.1511,0.1628,0
RD_2P_P,3434.55,3117.3878,66.1999,0.1691,2.3826,78.8543,0.1568,0.1645,0
RD_2P_P,3434.7,3117.5138,67.5799,0.1773,2.3825,79.0199,0.1886,0.1631,0
RD_2P_P,3434.85,3117.6398,64.8477,0.1888,2.3876,78.8748,0.1804,0.1648,0
RD_2P_P,3435,3117.7658,60.0653,0.1937,2.3968,78.8024,0.1636,0.1668,0
RD_2P_P,3435.15,3117.8918,59.3658,0.2016,2.4044,79.0867,0.1981,0.1623,0
RD_2P_P,3435.3,3118.0178,64.7464,0.2076,2.4113,79.5612,0.2276,0.1611,0
RD_2P_P,3435.45,3118.1438,65.8622,0.2172,2.4116,80.08,0.2269,0.1606,0
RD_2P_P,3435.6,3118.2698,65.2676,0.2091,2.4053,79.6232,0.2191,0.1601,1
RD_2P_P,3435.75,3118.3958,64.3682,0.2049,2.4032,78.4451,0.2465,0.154,2
RD_2P_P,3435.9,3118.5218,68.5871,0.1961,2.4053,77.7023,0.286,0.1467,2
RD_2P_P,3436.05,3118.6478,73.3425,0.1966,2.4112,76.9837,0.2999,0.1415,2
RD_2P_P,3436.2,3118.7738,74.9089,0.1936,2.4187,77.3158,0.311,0.1329,2
RD_2P_P,3436.35,3118.8998,75.4271,0.1879,2.435,78.1931,0.341,0.1214,2
RD_2P_P,3436.5,3119.0258,79.2974,0.1871,2.4535,78.5945,0.3875,0.104,3
RD_2P_P,3436.65,3119.1518,86.4066,0.1836,2.4836,77.9169,0.4516,0.0824,5
RD_2P_P,3436.8,3119.2778,93.1487,0.1826,2.5181,77.8605,0.5269,0.0577,5
RD_2P_P,3436.95,3119.4038,103.0987,0.1812,2.5577,78.0213,0.6077,0.0381,5
RD_2P_P,3437.1,3119.5298,108.4307,0.1876,2.5856,78.4328,0.6924,0.0296,5
RD_2P_P,3437.25,3119.6558,114.0395,0.2067,2.5936,79.4273,0.7292,0.0294,5
RD_2P_P,3437.4,3119.7818,112.6307,0.2159,2.5911,79.8347,0.7215,0.0343,5
RD_2P_P,3437.55,3119.9078,109.8554,0.2173,2.5824,79.9463,0.696,0.0338,5
RD_2P_P,3437.7,3120.0338,107.781,0.2095,2.587,79.9217,0.6413,0.0359,5
RD_2P_P,3437.85,3120.1598,102.1407,0.2078,2.596,79.7066,0.7086,0.0232,5
RD_2P_P,3438,3120.2858,109.3189,0.2066,2.6063,79.62,0.7212,0.0218,5
RD_2P_P,3438.15,3120.4118,110.8197,0.2097,2.6065,79.567,0.7275,0.0216,5
RD_2P_P,3438.3,3120.5378,116.8919,0.2054,2.5985,79.2819,0.71,0.0256,5
RD_2P_P,3438.45,3120.6638,107.6482,0.2099,2.5992,79.4902,0.6962,0.0281,5
RD_2P_P,3438.6,3120.7898,107.3718,0.2024,2.5953,79.6199,0.6923,0.028,5
RD_2P_P,3438.75,3120.9158,103.7473,0.2185,2.5873,79.2012,0.6533,0.0424,5
RD_2P_P,3438.9,3121.0418,105.5903,0.2244,2.5848,78.9011,0.6743,0.0427,5
RD_2P_P,3439.05,3121.1678,108.029,0.2237,2.5901,78.7734,0.6999,0.035,5
RD_2P_P,3439.2,3121.2937,107.4918,0.2124,2.6087,78.749,0.6992,0.0244,5
RD_2P_P,3439.35,3121.4197,113.3292,0.217,2.6134,78.7682,0.7547,0.0176,5
RD_2P_P,3439.5,3121.5457,108.8925,0.2093,2.6125,79.1045,0.7089,0.021,5
RD_2P_P,3439.65,3121.6717,107.878,0.2056,2.6068,79.1516,0.6881,0.0244,5
RD_2P_P,3439.8,3121.7977,103.7297,0.1835,2.5908,79.2791,0.6108,0.0334,5
RD_2P_P,3439.95,3121.9237,104.1211,0.1871,2.5785,79.426,0.6063,0.0389,5
RD_2P_P,3440.1,3122.0497,112.4631,0.188,2.5866,78.9767,0.6299,0.0325,5
RD_2P_P,3440.25,3122.1757,118.7677,0.1889,2.6049,79.0008,0.6748,0.0203,5
RD_2P_P,3440.4,3122.3017,120.9597,0.194,2.6254,79.0792,0.7265,0.0103,5
RD_2P_P,3440.55,3122.4277,114.8374,0.2024,2.6175,78.8708,0.7273,0.0159,5
RD_2P_P,3440.7,3122.5537,107.3688,0.2021,2.6061,79.1319,0.683,0.0256,5
RD_2P_P,3440.85,3122.6797,106.0156,0.1991,2.5905,79.0539,0.6617,0.0322,5
RD_2P_P,3441,3122.8057,111.3516,0.1963,2.5886,78.8958,0.6637,0.0328,5
RD_2P_P,3441.15,3122.9317,114.9079,0.2036,2.5872,78.8683,0.6843,0.0341,5
RD_2P_P,3441.3,3123.0577,112.185,0.2113,2.5798,78.872,0.6769,0.0394,5
RD_2P_P,3441.45,3123.1837,106.2028,0.2029,2.5676,78.9493,0.6367,0.0461,5
RD_2P_P,3441.6,3123.3097,103.1232,0.2047,2.5641,79.1386,0.6406,0.045,5
RD_2P_P,3441.75,3123.4357,108.9541,0.2037,2.5779,79.1597,0.6686,0.0365,5
RD_2P_P,3441.9,3123.5617,111.1011,0.204,2.5894,79.2249,0.6792,0.0317,5
RD_2P_P,3442.05,3123.6877,109.3532,0.1987,2.5892,79.113,0.6617,0.0334,5
RD_2P_P,3442.2,3123.8137,106.7301,0.1978,2.5837,78.9092,0.6604,0.034,5
RD_2P_P,3442.35,3123.9397,106.1645,0.2011,2.5908,78.6993,0.6741,0.029,5
RD_2P_P,3442.5,3124.0657,110.7168,0.1962,2.6009,78.5495,0.6653,0.0255,5
RD_2P_P,3442.65,3124.1917,112.4705,0.1874,2.6006,78.5634,0.6322,0.0268,5
RD_2P_P,3442.8,3124.3177,113.2742,0.1785,2.5972,78.4279,0.6147,0.0269,5
RD_2P_P,3442.95,3124.4437,113.8071,0.178,2.6022,78.1691,0.6339,0.0216,5
RD_2P_P,3443.1,3124.5697,112.0413,0.1806,2.6137,77.8891,0.6557,0.0159,5
RD_2P_P,3443.25,3124.6957,111.2711,0.1797,2.6196,77.8587,0.6486,0.0166,5
RD_2P_P,3443.4,3124.8217,111.6688,0.1778,2.6119,78.1249,0.6159,0.0246,5
RD_2P_P,3443.55,3124.9477,112.4737,0.1755,2.5953,78.3474,0.5849,0.0351,5
RD_2P_P,3443.7,3125.0737,113.9876,0.1788,2.5794,78.3013,0.5797,0.042,5
RD_2P_P,3443.85,3125.1997,111.4828,0.1852,2.572,78.1018,0.5928,0.0424,5
RD_2P_P,3444,3125.3258,108.3252,0.1876,2.5761,78.0153,0.6135,0.0387,5
RD_2P_P,3444.15,3125.4524,109.177,0.1901,2.5828,78.0306,0.635,0.0351,5
RD_2P_P,3444.3,3125.5789,109.9053,0.1935,2.5869,78.1534,0.6537,0.0303,5
RD_2P_P,3444.45,3125.7054,112.3419,0.1928,2.5961,78.4223,0.6765,0.0239,5
